Ciezar;Ceny;Pojemnosc
[42 43  1 46 30];[14 10  5 10 11];47
[47 28 33  6 12];[10 17 17  5 12];30
[21 25 33 25 17];[16  6 10 14 13];58
[20 46  1  3 32];[ 2  2 16  7 17];58
[ 1 26 14 26 42];[18 13  8 12 11];46
[20 11  5 39 17];[1 8 2 9 1];36
[ 6 31  7 39  7];[14  1  6 15 18];40
[44 38 29 22 21];[18  8  4 19  3];29
[29  8 18 27 27];[ 1 16  9 11  4];83
[27  7 13 46 15];[ 2 11 18 18 13];77
[ 9 22  9 33 32];[19  6 16  1 16];33
[29 34 48 10 35];[13 10 18 11  7];58
[37 10 20 38  5];[ 5 16  9  3 19];31
[15 27 21 17 43];[ 7  3 16 12 16];15
[20 21 34 43  6];[ 4 16 12 19 15];52
[48 13  5 47  2];[11 11 13  6  5];21
[24  2 28 45 22];[ 5  9 18 11  6];29
[35 28  6 34  4];[ 2 13 18 14 13];34
[28 47 38 31  7];[13 15  5  9  5];83
[ 3 26 28  3 43];[ 8  7 18 18  5];54
[22 42 14 29 37];[13 11  7  4  6];28
[ 2 41 30 44 45];[ 5  7 12  9 16];44
[46  4 47 21  9];[14 15 18  5  5];68
[ 8 37 47 20 10];[ 6  4 12 12  8];77
[44 28 30 49 26];[19  1  7  1 17];24
[ 3 43 10 43 14];[ 9 10 17 18 17];33
[32 24 35 20 19];[19  9  1 15  7];15
[35 28 37 45 12];[ 9 19  2 13  2];45
[17 13 24 39 14];[16  6  1 19 13];70
[29 33 27  1 47];[ 2  9 19  7 19];73
[23 28 45 22 46];[14  4 10  1  3];56
[ 5 26 43  4 47];[14 11  5  9  2];52
[36 40 48 17  5];[16  7  1 18  6];96
[27  2 35 40 43];[ 9  9  2 14  3];38
[47 43 21  1 41];[17  3 16 12  8];45
[19  1 42 24 14];[ 7 18 17 10  5];87
[38 12  7  2 11];[19  4 17  1  2];54
[47 35 23 44 14];[ 2  2 13  6 17];46
[12 29 37 19 10];[ 9  1  3 18  9];57
[38 42  1  6 18];[13 10 14 11 10];56
[30 16 23 42  1];[14  3  6  3  4];15
[ 8 32 46 14  5];[17 13 10  6  4];64
[18 49  2  3 23];[ 6 17  5  6 11];79
[39 12 45 21 33];[ 2 10  6 19  8];23
[28 23 11 38 42];[ 9 13 18  4  9];82
[ 9 41 11  6 13];[ 7 14 12 12  9];20
[ 2 37  2 31  7];[ 7 16  2 16 11];64
[ 5 21 23 19 34];[15 19  1 19 13];23
[11 17 10 22 40];[ 1  5 19 18  5];37
[49 20 22 24  5];[ 7  9  1 16 17];29
[17 44 15 39 36];[11  3  7 13 11];74
[48 40 10 21 12];[ 7  6 13 18  2];28
[25 21 48  9 43];[18  3  6  6 19];33
[10 14 38 33 31];[18  4 14 10 15];44
[36 37 31 43 19];[10 15  5  8  2];24
[17 41 47 21 13];[ 4  3  4  3 10];17
[37 19 18 45 15];[14  8  6  7  4];95
[26 47 25 24  8];[ 8  3 16  2  4];82
[18  3 14  6 27];[7 8 2 7 1];55
[ 1  6 37 37 36];[ 5 18  6  1  8];39
[49 41 42 31  1];[ 2 17  7  2 19];24
[25 20 46 21 20];[ 9  1 19 19 12];53
[35 20 49  8  4];[11  4 11 16 17];94
[40 41 42 21 24];[12 14  4 17  9];95
[46  6 13 13 33];[ 5 14  6  9  8];90
[17  4  4 42 47];[15  4  3  6  9];50
[22 13 16 41 41];[13  9 10  3  6];53
[32 40  7  7 48];[ 8  5 14  6  3];87
[33 15 45 38 49];[15  3  1 19 13];33
[10 21 21 27  4];[10 13 13  5 13];62
[35 35  8 25 13];[ 5 14 10  1 19];68
[27 26 31 19 32];[13 15  5  2  5];69
[49 21  3 24 28];[12 14 12  8 17];93
[25 44 23 32 42];[19  4  9 13  7];70
[18 28 13 37  8];[19 14 16  7  6];43
[11 21 27 23 28];[ 4  5 19  4 13];96
[13 41 28 18 39];[ 5  2  6 19  8];97
[49 16  5 38  1];[ 5  9 15 11  2];45
[44 19 29 23 38];[17  9 16  7  1];44
[24 15 37  7 16];[13  5 19 17  8];54
[13 47 17 10  6];[8 7 2 8 2];62
[24 35 23 31 16];[ 5  6 15 19 17];47
[47 43 32 14 31];[ 7 16 19  8 13];80
[ 2 18 24 47 27];[12  1 19 17 18];24
[12 43 39  5  8];[ 4 17 14 19  8];72
[ 1 21 49 19 22];[16  1  5 12  7];50
[41 32 28 21  3];[ 1 13 15  9  3];98
[ 4 30 29  1 31];[16 15 17  4  2];64
[41 34 18  3 27];[12  7  3  7 13];23
[15 11 44 45 43];[11 12 11  2 14];93
[27 36  1 38 25];[10 12  6 11  8];62
[26 23 19 23  5];[14  3  9  2  7];20
[31 45 27 21 11];[ 5  1 16 19 16];83
[25  4  1  2 13];[ 1  1  1 13 16];39
[35 44 29 11 36];[14  8 14 16 19];70
[25 14 21 31 15];[11  5 18  8  4];67
[39  5 48 49 17];[14  8  2 13 15];73
[44 49 27 11 17];[ 1 13 10  1 11];82
[41 35  7 45 22];[ 7  4  4  7 15];20
[10 14  5 13 12];[11 13  8 11 10];18
[19 37 21 42 27];[11 17  9  9  1];66
[20 20 28  7 18];[ 7  3 17 14  4];20
[10 24 30 45 18];[9 2 4 5 7];81
[16 26 10 26 49];[ 9 13 19 12 10];72
[46 11 48  9 11];[14 19  8 15 11];81
[41  1 48 25 31];[ 9 16 16 15 18];27
[48 25 26 14 40];[15 18  2  8 14];60
[31 39 25 42 45];[3 1 1 6 8];96
[22 22 24  7  4];[12 13 16 14  7];49
[ 5 36  7 39  6];[ 6 13  1 19 11];84
[ 7 36 42 37 48];[16 11 16 10  6];16
[26 25 46 20 48];[12 16 15  2  7];81
[39 34 35 49 31];[ 9 13  2  2  5];58
[28 47 25 16 22];[16 11 17  8 19];93
[18  8 16  9 46];[14  1  1  1  1];33
[ 2  6 15 22  9];[ 6  9 19  1  3];99
[40 32 17 17 26];[17 13  5 13 19];46
[44 47  4 34 18];[10  1  2 15  8];73
[28 27 13 27 17];[13 11 13 19 13];40
[24 24 32 44 43];[ 8 16 14 12 18];67
[47 27 23 40 32];[ 3 18 17 17 13];29
[ 7 46 35 16  6];[ 6 10 12  8 12];60
[ 4 10 12 38  1];[16 17 18 19 15];45
[33 18 46 12 14];[14  3  9 16  1];90
[ 3  3 47 33 10];[ 9 12 15 14  1];40
[11 32  6 21 18];[ 6  6 11  9 19];86
[18 14  6 26 16];[ 1 18 19 17  5];19
[44  1  6 28 34];[13 18 12  1 19];92
[30 46  7  6 12];[14 15 10 17 15];58
[15 17 33 39 24];[ 4 16  7 19  1];93
[36  6 23 18 38];[ 7  7 10 19 15];77
[47 33 36 28 22];[ 3 12 13 14 14];26
[ 9  7  2 19 35];[13 17  3 16  6];86
[12  8 46 11 25];[13  5 13  1  5];22
[42 24 13 31  9];[17 18  3  8 10];56
[10 28 20  9 34];[ 2 14  7 13 15];86
[23 33 25 14  7];[18  6 13 17  7];75
[28 24 37  9 10];[ 9 19 16  3 13];55
[ 6  9 25 10 28];[ 2  2  9 17 10];73
[29 31 15  9  3];[ 9 12 14 18  6];16
[15  8 38 46 34];[ 4  9 12 13  7];49
[13 46 23 22 41];[12 15  7  9 13];38
[ 9 21 17 36  7];[ 8  7 16 10  8];61
[28  1  1  9 28];[ 8  5 13 17 14];45
[ 3 18 29  6 42];[ 2 15  7 11 10];96
[ 8 32 24 42 42];[19 19 16  5  2];66
[41 46 29 19 19];[19 17 16  8  6];89
[14 29 22 14 45];[16 10 12 19  6];72
[49 24 38 42 29];[11  3 17  5  7];21
[21 25 43  1 46];[ 7 13  6  1 14];39
[45 11  2 39 43];[ 4  5 15 14  2];39
[13 39 46 16 40];[12 18  7  3  7];80
[ 6 21 44 42 34];[ 2  2  6  2 15];85
[36 45 44  9 15];[ 2  9 15  6  8];90
[40 32 11 28 23];[16  1 16 17  6];32
[ 4  8 42 23 39];[15 17  5  8  8];84
[ 9  7 17 18 39];[16 11  1  6 13];56
[20 40  2 47 13];[16 18 13 17  6];84
[24  3 38  1 39];[18  2  7 17  5];21
[22  3 33 41 13];[ 8  1  7 14  7];42
[38 47 44 11  7];[15  4  8 16 16];31
[ 9 42  5 33 32];[19 15  1 19  1];39
[11  4 11 42 41];[14  9  2  7 19];58
[34 22 41 25 44];[15 18  2 16 16];18
[ 2 40 33 49 22];[11 14  3 11 11];99
[ 4 45 34 44 22];[ 8 16  7  5 15];27
[19 22 20  4 34];[18 15 13 14 11];30
[24 39 38 18  8];[17  7  5  4 18];63
[42  3 14 16 46];[5 3 9 7 7];99
[ 7  2 36 45  5];[17  1  5  8 14];69
[11 44 38 48 41];[ 1 12 19 18 15];90
[13 38 32 14 36];[12 14 10 15 16];28
[15 45 11  4 22];[6 6 5 7 8];67
[41 30 47 23 12];[ 2  5 11 19  8];56
[49 36 40 10 48];[ 2 11  1  4 19];17
[ 1 39  1 19 35];[ 8  2 19 13  6];28
[39 27  5 20 37];[14  2  8 14 12];17
[17 35 40 32  2];[ 3 14 17  8  8];44
[ 5 46 16 47 24];[ 7 10 11  5  7];26
[30 40 21 16 37];[17  7 19 12 19];81
[37 39  7 40 13];[19  2 11  8 18];78
[15 23 15 29 15];[9 9 3 6 6];18
[37 45 27 13 22];[18  9  9 16  6];95
[ 4 36  6 42 14];[14  1 15  3 10];16
[37 38 32 19  1];[ 7 10 13 10 15];36
[32  6 26 39 28];[11  9  9 12 18];23
[18 31 33  9 16];[ 6 12  2  6 15];74
[41 16 23 48  4];[ 1 14  7  2 16];16
[39 21 29  8 31];[ 3 16  2  2 17];67
[28  6 45 36 39];[ 3  8  9  7 10];91
[17 34 28 29  6];[ 8 17  7 14 18];52
[ 3 33 11 18 17];[11 15  3 16  7];60
[21  6  4 49 42];[13 13  3  3  9];51
[38 31 30 17 21];[15 14  1  6  1];17
[42 14 42 40 29];[ 2  8 19  6  8];17
[15 28 13  9 27];[10  3  1  6 10];22
[43 18 14 45 26];[ 4 15 18  1  2];95
[21  5 26 30 33];[ 1 11 13  6  5];74
[24 17 22 29 11];[4 2 9 4 6];96
[46 26 13 44 39];[18 12 12  5  9];55
[ 8 36 36  8 16];[ 5  5 11  8 16];77
[37  8 25 25 48];[ 1  5 17 15 19];49
[14 20 39  7 22];[ 3  4 15  7 10];25
[21 14 16 29 29];[11  1 13  1  6];39
[ 8 22 45 23 44];[13  4  8 15  2];38
[19 30 27 40 33];[16  8 14 19 18];20
[ 5 45 25 30 46];[16 13  9 13  2];23
[43 24 39 16 31];[ 8  4  1 11 16];64
[ 1 37 26 10 13];[ 4  7 19 17 14];61
[22  8 18 41 21];[18  4  1  3  5];69
[37 11 19  3 11];[11 14  6 12  6];87
[21 41  5 18 29];[ 1 18  8 18  1];65
[24  5 41 17 16];[11 17 16 17  8];52
[49  3 13 18  1];[ 4  1  4 19 15];18
[36 13 41 27 20];[ 5  7 13  8 11];93
[ 4 17 42 15 21];[16 10  6  8 19];58
[14 12 25 16 40];[10 15  6 19 14];80
[ 9 37 15 46  8];[ 7 10 16 15 17];76
[17 18 49 36 14];[10 13 19 12  5];18
[49 42 16 33 19];[ 1  2 13 11 11];62
[13  2 24 35  8];[13  8  5  6 19];87
[35  7 24 29 24];[11  5  5 11  7];68
[19 18 11 13  7];[19  6 10 18 13];65
[37  8 13  6 19];[13 14  3 18  1];90
[ 4 28  1 15 30];[12  7  1 19 10];49
[30  1 40 38  3];[10  5 10 15 16];35
[ 6  2 21 34 49];[ 7 18 11 13 14];84
[45 22 45 45  9];[ 1 13 19 19 17];63
[ 3 20 27 31  2];[ 9  6  6  5 13];94
[35 26  2 36 26];[ 7  3  2  8 11];86
[29 37 21  1 48];[15  4  5 10  4];66
[ 1 21 25 32 34];[ 8 15  2 14 17];61
[11 19 39 48 28];[ 7 18  8  8 14];46
[ 6 39 18 17 37];[ 8 12 17  8  7];32
[46 46  7 49 48];[ 3  8 17 17 17];45
[30  6 48 14 14];[ 9  7 16 15  6];49
[30 23 14 33 22];[ 8 18  4 19  4];62
[38 49 46 49 11];[ 3 16  8 15  9];92
[33 14 34 41 21];[ 9 15  3  7  1];43
[40  5 10 10 12];[17  5  7  1  1];98
[42 48 28 36 24];[13  7 15  2  4];74
[20  7 24 19 23];[ 1  4  2 17 12];18
[21 19 21 31 13];[16  2 17 10  2];75
[28 13 35 23 11];[ 7  7  5 15 15];58
[18  2 33 39 47];[11 11 16 15 10];28
[ 8 21 45 18 27];[ 5  4  4 13 13];78
[16 12 19 47 24];[ 9 13 18  5  6];15
[18 46 43 47 27];[13 12  3  4 15];57
[21 11 20 16 40];[ 5  7 10  7  8];68
[20 33 39 10 36];[17  8  5  3 16];62
[37 46 38 31 33];[ 2 14  6  4 13];63
[ 7 14 23 23 34];[ 5  2 19 12  3];79
[28 43 42 12 17];[14  1  6 19 13];23
[49 21 18 15 32];[ 5 13  4 18  7];89
[21 47 22 12  2];[13 13 17 14 17];68
[24 10 26  9 44];[18  2  7 17 18];82
[48 21 11 20 47];[ 5  5 12 13  4];89
[12 39  2 41 49];[ 4 17 12  5 15];38
[42  9 46 13 11];[ 9 14  3  3  4];24
[28 45  7  8 26];[13  7  7  6 16];84
[47 30 49  8 11];[6 9 9 6 6];79
[48  3 41  5 10];[19 11 14 18 12];52
[11 19 47  4 24];[13  8  3  2 18];43
[34 28 12 10 15];[10 17  7  4 14];55
[35  1 43 33 17];[14 16 13  9  8];80
[34 14 40 31  6];[12 13  7  5  7];15
[ 5 23  7 37 34];[16  6 17 13 12];25
[26 38 43 11 42];[12 11  9 13 15];20
[29 12 40 37 37];[11  7  2  4  2];89
[48  1 46  7 29];[ 5  7 12 10 19];60
[29 26 49 46 22];[17  6 17 18 12];75
[13 15 27  9 34];[16  6 19 11 13];74
[15  7 19 26 46];[ 8  1 19  6  5];38
[ 5 26 36 41 19];[18  6 10 16 14];47
[ 4 38 49 16 35];[ 9  6  5 19  6];49
[20 10  9 17 27];[10 10  8 10  9];35
[49  2 35  5 41];[16 13  1 19  7];85
[41 36 39 43 47];[ 6 13 13 18 17];76
[19 41 46 20 48];[19  9 14 15  6];67
[40 19 31 39  8];[12  1  9 19 18];42
[ 2  8 17 48 46];[19  7 17  1 13];96
[ 6 45 30 47 28];[13 14  1  8 19];49
[29 49 40  9 39];[14  8  9  3 19];42
[11 43  8 15 11];[14 16 15  1  7];25
[29 26  7 26 13];[10  5 11  1 15];46
[12 44  3 10 37];[ 1 17  8  4 16];97
[ 7 30  2 23 44];[19 16  8  1  6];90
[40 43 11 14 45];[12 13  4  5 17];36
[21 17  9 47  2];[10 10 18 17  4];75
[10  1 27 40  5];[18  5  1  7  2];75
[44 43 47 33 34];[ 6  5 12 10 13];73
[ 1 31 26 34 20];[ 2  1 10 18 18];64
[38 42 47 35 33];[3 5 6 3 6];31
[15 36 41 29 21];[ 2  6  6 12 15];69
[ 6 34 45 17  2];[15  2  8 12 10];64
[34  9 37 18 35];[10 15 10  5 11];58
[17 28 44 42 21];[ 1 18  7 10  6];74
[34 15 42 39 39];[12  1 12  4  7];74
[30  9 43 30 47];[10  9  4 15 13];61
[34 48  2 34 27];[17 13 11 16 18];92
[28 46 13 20 29];[ 4 13  2 19  1];32
[20 26  9 14 44];[10  9  3  1 15];61
[42  7 37 23 16];[18 16 10  3 19];33
[ 4 43 47 32 23];[ 5  1  2  1 13];86
[42  4 44  5 36];[ 3  7  9 16  4];98
[42 34  9 32 30];[19 19 18  7 13];70
[30 40 38 25 19];[ 9  8 13 17  4];94
[48 38 22 47 44];[ 8  8 15 14  9];30
[ 8 32 40 46 12];[14 16 13 19  9];45
[26 39 26 34 34];[12  6  9  5  9];54
[16  3 40 14 41];[ 5 17 17 18 14];31
[ 8 21  5  5 43];[16  4 13 11  6];41
[33 36 48 32 34];[10 19  9  3  3];48
[45 15  9 48 40];[ 9  2 11  2 11];53
[37 44  1 12  6];[16  3  4  1 13];53
[ 3 15  2 25  5];[17  3  6 12 19];17
[14 31 45  3  7];[14 11  8  6  7];42
[49 20 30  2 25];[10 12  6 15  5];59
[36 17 44 18 41];[10 13 15 19 14];36
[30 28 38 19 14];[16 16  3  9  6];65
[19 13 13 15  8];[ 8  6 14  7 12];63
[ 3 31 34 31 43];[ 8 10 10  2 18];46
[ 5 31 35 12 19];[14 17  9  1  5];52
[29 12 19 21 29];[19  5 12  4  2];34
[26  8 25  2  1];[ 6 14 12  9  1];23
[20 29 20 17 47];[ 9  9  9 12  7];74
[28 12 43 26  7];[ 8 14 14  1 16];30
[27 20  2 38 46];[15  1 13  8 12];38
[11 48  2 42 12];[ 7 14  9  6  7];15
[35 39 11 26 27];[ 4  5 13 18  5];48
[ 2 11 37 41 22];[10 16 13  6  8];96
[25 17 37  1 47];[19 16  7 11  2];41
[17 34 37 21 47];[9 3 8 2 9];36
[ 8 25  9 36 48];[ 6 10 16  6 13];73
[46 44 44 46  5];[ 1 14 10  1 19];94
[ 7 32 48  5 20];[ 9 19  8 18  6];15
[26 25 40 12 15];[ 2 18  5 17  9];77
[21 13 15 13 17];[ 6 12 18  2  8];22
[31 19 20 12 19];[10 18  7  3 14];23
[16  6  3 26  9];[ 6  5 12 11  8];53
[11 14 44 45 30];[15  9  7  9 10];93
[ 1  9 43 21 21];[19 15  6 14 13];74
[43 48 20 27 36];[ 6 15  5 14  3];76
[20 41 18 23 14];[10  5 15 11 15];43
[24 17 26 15 24];[18  9 12 11 12];92
[44 37 22 10  6];[19 16 14  2 17];66
[17 36 11  4 27];[13  2  8 18  1];30
[13  5 21 42 42];[ 7  2 10 19 16];35
[12  7  1  8 30];[15 15 11 19  1];32
[29 25 19 10 26];[ 6 19  3  9 10];82
[ 7 39 11 19 43];[19 11  6 14 16];70
[ 6 13 15  1 40];[18 16 17 16 19];22
[ 7 28 45 49  2];[3 6 4 7 3];85
[15 36 12 36 25];[18 12  8  3 14];27
[30 15 10 44 20];[ 4  4 17 11  2];76
[33 43 49 27  5];[12  9  5  8  7];86
[34 26  5 49 13];[15 13  9  4  4];52
[26 45 34 25  3];[ 5  2  4  6 13];76
[48 40 19 20 20];[ 8 13 17  4 11];57
[ 9 34 35 35 11];[16  3 15  2 17];90
[37  8  3  8 22];[15  7 19  7  5];44
[44 36 44 32 17];[ 7  1  7 15  6];72
[14 43 16 15 17];[14  1  2 11  1];86
[ 7 10  1 14 40];[ 5 11 16  5 19];33
[37  3 46 21  9];[ 8  6 14 16 17];82
[48 21 14 44 10];[16 14 11  7 11];98
[ 2 43  5 26  5];[10 18  6  2  2];44
[18 13 34 39 49];[16  8 10  9 17];22
[26 43 48 10  3];[ 5 11  7 14 18];25
[38  4 19 35 42];[ 2  8 16 14 15];71
[31 18 48 18  9];[ 5 18 18 13  9];19
[49 29 10  8 36];[11 12  8  7 13];44
[43 34  2 17 33];[13 10 17  2 15];25
[13 41 26 34 33];[17 13  2  6 17];66
[ 4  7  6 26 36];[ 4  6 18  5  3];59
[18 22  6 26 32];[ 7  5  3 19  9];70
[ 9 27 34 44  3];[ 6  5 18  7  1];86
[ 5 27 30 48 36];[12  3 10 18 18];85
[ 9 17 22 34 45];[18 15  3  8  9];92
[43  6 47 12  5];[ 4  7 11 13 17];72
[38 23 12 33 30];[19 13  4 19 13];93
[40 15 32 11 47];[13 17 10 15 10];36
[ 6 11 25 27 13];[17 15 19  3 16];24
[18 38  9 31 20];[ 2  1 11 10  7];24
[25 14  8 21  8];[ 1 18  7  6  4];54
[15  5  8 40 27];[ 7  8 16  8 16];41
[33 15 20 35 43];[13 11 13  9 15];74
[14 39  9  1 13];[ 6  2 16  1  2];40
[27 25 47 45 36];[15 19  8 16 18];19
[17 40 11 16 36];[14 12 12  5 13];36
[26 17 28 32 10];[ 6 11  4 12  9];29
[33 11 13 26  1];[19 12  3 17  9];94
[ 8 17 12 30 18];[ 7 17  9  3 16];15
[37 31 12 23  9];[16  6  8 15 10];24
[21 34 34 16 33];[ 5  5 13  8 15];36
[16 12 41 13 14];[ 8 11  8 10 12];44
[ 6 38 14 49 42];[12 14  9 14  1];94
[43 47 44 24 37];[12 18  1 14 12];74
[ 4 49 48 47 14];[ 9 12 10  8  8];26
[ 2 20 35  4 23];[14 14  7  4 16];33
[18 13 16 36 29];[18 12 18 10  7];85
[38 43 33  4 38];[ 3  7 18  6  1];84
[36 18 31 18 13];[12  3 10 18 19];72
[ 4 41 11 34  5];[ 3 16  9 13 10];94
[23 27  5 44 12];[ 3  6 18  9  6];27
[44 29  2  8 11];[ 5  6 13  8 13];84
[18 37 17 23 43];[13 16  6  5 15];47
[44 46 29 25  2];[ 9  7 18 15  6];93
[ 1 12 42 42 39];[19 15  4  4 14];86
[25 28 14 34 41];[ 5 12 19 18  5];87
[ 6 34 35 40 38];[ 9  3 14  1 18];94
[14  9 43 40 41];[15  5 13  3 19];81
[ 1 17 29 25 34];[ 3  1 11 16 12];18
[11 13 33 30 14];[11 17 15  8 18];80
[11 32 49  5 19];[ 7  1  1  5 12];90
[44 12 14 13 30];[11 19  5  5  8];62
[37 19 43 36  3];[8 2 5 3 8];16
[36 19 39 36 18];[ 5  2 19 17 12];78
[18 28 49 43 23];[ 6 16 16  9 11];89
[43 26  4 49 42];[ 6 13 10 19 15];92
[11 27 23 32 34];[ 5 10 18  5  3];73
[26  7 19 40  5];[ 9 17 14 15  9];71
[17 16 25 22 33];[ 9 14 15 15  3];71
[ 8 12 40 20  8];[11  2  5 11  1];41
[29  9 36 30 39];[19  2 16 14  9];50
[ 3 31 33 27 20];[ 3 10 12  5 11];67
[ 1 11 33  7 35];[ 8 12 17 15  8];46
[43 30 25 17 38];[ 3 17  1 17  3];48
[37  6 31 41 18];[ 9  2 15  9  2];91
[ 5 17 17  7  2];[ 9  2  1  8 15];22
[46 34 43 12 18];[19  4  9 10 10];94
[17 42  2 25 17];[19 17  4 13  4];58
[40 44  2 39 12];[17  6 13  7  8];18
[44 36 23 11 39];[10 13  6 16  6];84
[ 3 22 19 10  7];[18 14  8  3  6];85
[34 13 40 28 33];[19 11 13  6 10];66
[11 26 14 37 36];[ 7 13  6 12  4];75
[27 46 26 15 16];[17 10  6  3  4];31
[ 7 11 15 16 29];[11 18 12 17  1];84
[24 37  8 34 36];[ 1 14  1 16  1];72
[24 36 40 47 26];[14  5 13  4 13];56
[35 30  2 21 47];[15 13  5  8 15];24
[28  7  3  4 25];[ 7 12 12  2 16];88
[40 25 44 19 32];[16  4 19 16  4];79
[15 48  7 34 26];[ 4 18 10 17 11];52
[25 24 23 30 35];[19  2 17 11 18];86
[42 10 43 29 16];[12  7 16  8 10];96
[14 48 46 40 49];[12  8  3 19  8];23
[32  8 21 14 31];[10  8 16  6  7];26
[26  5 39 20 43];[10 16  9  2 13];34
[36 17 10 29 12];[11 13  5  8  4];33
[13 18 45 22 19];[ 9  2 14 19 19];23
[34 27 12 14 10];[ 4 11 17  2 16];42
[33 19 23 24 17];[18 15 19  1 14];66
[17 38 13 16  3];[ 9  6 17  1 15];55
[34 39 47 38 42];[ 2 10  3  1  2];67
[47 17 13 14 49];[ 4  7 10  4  4];95
[10 37 46 26 16];[ 6 12 16 15  6];35
[40 34 13  8 31];[17  3  9 16  4];67
[27 14 15 49 35];[ 3  8  8  1 12];18
[25 20 30  2 36];[8 4 9 4 6];38
[ 9  2 15  8 17];[ 3  2  1 12 18];51
[33  4 15 26 45];[17 15 16  9 14];89
[12 43 30 17 18];[ 8 16  1  1  2];56
[43 36 34 44 35];[15  5 17  8 19];77
[ 8 41  9  9 32];[ 5 12 19 19 17];98
[10  2 26 20 47];[ 5 19 12 13 18];20
[ 6  4 13 31 28];[ 5 14  2  8 14];27
[ 8 16 26  7 24];[10  6 12 16  6];75
[44 42 47 45 42];[12 19  3 19  9];38
[49 22 29 25 47];[15  6  9  4 14];78
[ 8 41 47 10  4];[9 5 5 9 9];54
[33  7  4 47 11];[19  3  4 17 11];66
[31 12 33 39 48];[15  4 11  2 16];48
[ 6 38 27 49 30];[ 8 17  5 19 14];39
[16 19 34 30 16];[ 7  6 10  6 17];94
[14 31 37 40 48];[11  4 12  7  7];84
[28 12 37 15 15];[15  1 11  7  5];40
[ 4  2  4 17 38];[ 3  4 14  7  2];44
[37 42 44 10 30];[ 8 14  1 17 19];19
[22 36 12 29 11];[ 1 14  1  3 15];45
[41 31 39 28  9];[12 16 15  2  2];41
[16 45  4 28  9];[ 6  8 16 17  6];57
[43 46 24 41 15];[12 19 15  4  7];26
[49 45 19 20  1];[12 19  3  9 16];45
[13  4 32 39 11];[ 6  2 14 11  9];61
[21 21 38 10 17];[15 19 10 14  9];48
[13 41  2 31 37];[13 14  6  3  5];45
[10 16  7 40 34];[14 11  1  2  4];36
[ 2  9 23 37 48];[12  6  2  8 13];18
[42  9 49  5 25];[ 9  4 18 18  6];55
[17 41 38 33  6];[ 1 16  8  3  9];30
[23 49 47 29  5];[ 3 11 10 18 17];83
[ 5 29  9 44 24];[18 12 16 13  2];28
[26 29  6 48 40];[ 2 17 18  8  3];39
[19 24 35 45  2];[ 8 15 12 13  8];97
[17 11 15  1 23];[ 1 11 10 12 17];23
[27 16 21  1 48];[18 19  6 18  5];19
[21  3 12 10 47];[12 14 19 18 13];76
[17 25 16 36 46];[ 8  3  2  9 13];29
[37 27 47 10 49];[9 3 6 6 9];52
[13 29 44 27 26];[18 16 15  6  6];85
[13 39 27 33 37];[ 8 17  5  4 15];90
[11 21  4 11 24];[16  8 17  1  4];94
[ 6  9 19 10 47];[ 8  1 11  9 16];92
[14 31 31 26 48];[ 9  6 12 15 19];21
[34 21 12  3 32];[ 6  5 19 12  2];17
[ 6  1 24  7 49];[ 2  9 16 13  3];73
[20 38 30  1 20];[ 8 13 17  7 16];43
[46 45 22 25 22];[12  2  9 11 16];90
[ 2 25 12 14 49];[17 15  8  3 10];97
[49 33 31 37 36];[11  3 19  1  5];94
[45 26 15 25 17];[ 7  2 14  9  7];41
[14  2 22 31 35];[ 4  7 14 13  5];95
[39 19 28 19 45];[13 10 15 15 16];83
[17  5 49 15 24];[14 15 12  9 18];79
[34 18 27 21 31];[13  3  8  4  7];72
[30  4 37 45 18];[ 2 10 11  9 12];44
[25 26 24 42 44];[16  1  7  6 15];53
[13 35 18 10  8];[14  1 10  5  5];32
[ 4 19 11 23 49];[ 5 17 19 17 16];92
[11 18 21 30 11];[13  6 16 16  4];41
[ 5 22 48 38 45];[15 17  2  4  5];90
[21 20 29 23 16];[ 6  6 11  9 19];34
[ 5 44 42 22 13];[19 10 17 11  8];46
[30 28 40  1 18];[15  6  7  4 12];67
[ 3 34 22 34 46];[14  4 14  4  2];95
[44 14  9 28 22];[ 6  6 17 12 10];99
[18 49 24 16 15];[ 1  6  6  4 10];65
[47  9 48 38 30];[ 9  1 13  7  1];99
[12 47 27  9 35];[12  5 14  1  6];25
[ 3 26 13 48 15];[ 2  8  8 18 13];98
[32 38 20  9 38];[ 3  4  5  1 18];54
[34 28 41 47 18];[2 5 4 6 7];62
[ 9 42 12 48 41];[9 4 7 6 3];63
[26 19 18 21 25];[ 6  7 13 18 19];83
[13 41  3 26  9];[15  1 12 17  3];31
[20 22 23 40 46];[ 6  1 16 13  6];26
[23 22 13  8 41];[14 15 18 13  7];25
[35  5  5 33 11];[14 18 11 17 15];64
[14 30 17 39 23];[13  4 19 11 14];26
[38 37 15 18  9];[ 5 10  3 19 18];81
[16  4  1 24  1];[18 18  1 19  5];81
[15 24 46 43 34];[ 1 15  7 18 18];92
[16 41  4 30 12];[10 12 17 15 16];56
[30 33 47 29 26];[ 8 10  8  4 17];66
[ 8  7 45 28 23];[ 6 14  7 14  4];28
[12 40 38  3 33];[10  4 18  9  3];71
[45 48 22 41 37];[ 5  7 14  5 16];61
[35 12 49 26 30];[14 11 17  7  4];19
[14 10 15 26 46];[ 3  8 12  5 19];79
[39 19  1 22 29];[10 14  6  4 14];37
